deck,card_number,source_path,source_size_px,normalized_trim_px,normalized_bleed_px,normalized_path,sha256_source
High Chance,1,/mnt/data/ghostwriter_images/context/8d1d6a71-3169-5b31-894c-187e2fd9e293.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_01.png,48b7feab4c06ecce5922c9938ddbc5b738fb2a1ad882f9a330fd0a187bed36a6
High Chance,2,/mnt/data/ghostwriter_images/context/16b729b5-42ac-5869-9cb3-47bc568c7465.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_02.png,c88f1985c117b133bbd4fe87d07ffb73a42afda8b21abac912a9b9e9308bdbf0
High Chance,3,/mnt/data/ghostwriter_images/context/1b2006a6-20eb-558e-9bb2-0fcb233f4b34.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_03.png,4ab3da6d6a1fa2092c5e65e5773e144ff5a41b7c032c5d9dc41f4455c63021c9
High Chance,4,/mnt/data/ghostwriter_images/context/6c210153-2a51-55a9-bc08-ba4a6d083389.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_04.png,88fdfdf0e1e979a38e71f4e8b292f571178a392c5d443823da6ff66e030d9e94
High Chance,5,/mnt/data/ghostwriter_images/context/bf47baba-d754-5362-bd1c-8711cbed9119.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_05.png,bfd5f564d431c896f28f62fc2b7a68bd86fb8286bd28d4de2b583011b51341b3
High Chance,6,/mnt/data/ghostwriter_images/context/94787579-6228-5096-91cc-fa4e3acf8d70.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_06.png,b6f86d33785fc4babf7e3138a7bf9870a44cd495875a4cf0b0936f356d29fb80
High Chance,7,/mnt/data/ghostwriter_images/context/17b0a7b3-2a4f-5aa0-b227-6ff0f62c78b4.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_07.png,ce676f19696af86f7da4f6e937acb3efc1f8f999d8c5f9e632cfe5d7c81c8729
High Chance,8,/mnt/data/ghostwriter_images/context/3c720525-a2d9-54ef-9a94-297fca7d5926.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_08.png,3d5b0c185680b84a2d35bedce5e0a58f5425391761b8a2d6c97f05a47e77e986
High Chance,9,/mnt/data/ghostwriter_images/context/88b9c556-5afb-59e9-9f1d-37f5c0102720.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_09.png,92c7b5eaa841c2492ec9f86f5cb9f8dfa5c3dd6e91e60ed16efb226588ac1f61
High Chance,10,/mnt/data/ghostwriter_images/context/ec9b07f3-a596-5ccc-8bea-7b119cf1e01f.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_10.png,c93ed0a39ea7a5e75b4a9195dc87858f53f51e9043c284d01fe771dbf7b6c625
High Chance,11,/mnt/data/ghostwriter_images/context/e0c3dc65-7c45-588f-a013-2a101c567d8c.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_11.png,da104a38be97a137518a8e283a4386ffdf3cb343c361668f66980b41c30de505
High Chance,12,/mnt/data/ghostwriter_images/context/5716e4b2-f1ee-5f33-99ec-7a1e54af6600.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_12.png,b29e29d081bff8a3e4136fe8f62c04e080a032d2985f4d657ef10d17194a975f
High Chance,13,/mnt/data/ghostwriter_images/context/7f6e048e-9fa3-5ae5-ab98-2d7ec73cdc98.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_13.png,58e0d3e851987bd3bc4a2f42b05a964c15b5047844d7a8c5c2f99bd832655681
High Chance,14,/mnt/data/ghostwriter_images/context/4c249498-6053-5b90-bc64-bead95846f86.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_14.png,fa2a7f010241607266e1e63b46cb768819910720f868f047493f62c2c152c2d9
High Chance,15,/mnt/data/ghostwriter_images/context/38f677c0-f8bc-5ab3-a58b-916a44b086d5.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/high_chance/high_chance_15.png,a5195dd6b8396d6653c80def5ea39fe4ed7afbf78511b611a58a5e57362d51b9
Community Stash,1,/mnt/data/ghostwriter_images/context/6b0955e8-8abe-50f4-8845-149c973724f2.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_01.png,f93e574f5ded16df608a3d31d12c70a7fb2a9bc99bd578045dc47794e944de84
Community Stash,2,/mnt/data/ghostwriter_images/context/91486757-70a4-5560-845a-48200da0cdda.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_02.png,3cf93622d5999c6c419b583f2e0945c2deaf73bd79344d3d2ca95626f0e26b76
Community Stash,3,/mnt/data/ghostwriter_images/context/795c9c22-a8b7-5b52-95c9-a97c32b013ff.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_03.png,926be3af3ea6d383831f1f367f9b74de1570699d19feb9c2f26a65e770808e93
Community Stash,4,/mnt/data/ghostwriter_images/context/9fb78f1f-def8-52fd-acf0-bf315794a586.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_04.png,0f79acc694d80c55717d4e6d9bb0e02fe3feaf1ba7f89b94205c94149f279e7b
Community Stash,5,/mnt/data/ghostwriter_images/context/d08dd60d-ceeb-58b0-ae75-5b0442182550.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_05.png,011951bfbeced2eb200371c578fd8aa220b328992bd7723f6b318c6ac8ff3aa9
Community Stash,6,/mnt/data/ghostwriter_images/context/019358ee-3372-5c8a-a6f1-4db371dd70d1.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_06.png,7079c6a5e34e02dc6b0f4d99c2f4857c0033b9409054548388941e154715091d
Community Stash,7,/mnt/data/ghostwriter_images/context/e539b08f-43ef-5cc3-8b70-7581fbddcf84.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_07.png,2fd19b21ce85fa872df8278b897d11ff9bd516368c7a9757d023b108db673d8c
Community Stash,8,/mnt/data/ghostwriter_images/context/3ed5f2b2-9f45-5517-89bf-63d5cab963de.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_08.png,8691430bf6b7618b4740e7f30ad752aa25f56882c9bfe79785863b86d7b28046
Community Stash,9,/mnt/data/ghostwriter_images/context/fc45d2a0-a18c-583a-b996-e421edf95d51.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_09.png,4f0d9a65519941caa8552faea08e18545000c707b9490a8c5b08bc7cfac459db
Community Stash,10,/mnt/data/ghostwriter_images/context/741f99d6-cc71-563d-826c-b44e35077ff9.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_10.png,713f4b4ea924ba6eb34d932035231dbf6744d025e1da3da70309c274d795c29c
Community Stash,11,/mnt/data/ghostwriter_images/context/54812ddb-c538-5456-a8e8-9b59ae787084.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_11.png,21895571b6d71104b977206f2940bff38d8848741807ab4c963706e6ad8d4a86
Community Stash,12,/mnt/data/ghostwriter_images/context/05892ea8-a7c3-5404-9377-26098668a6b0.png,1097x1536,1500x2100,1650x2250,/mnt/data/Weedopolis_Approved_HighChance_CommunityStash_Print_Package_v3/normalized_cards/community_stash/community_stash_12.png,439a3af0748c1c8c5df403ac7f69642766239c827aa6a5ed7a985a8f2d80603d
