asset_id,component_type,component_name,board_space_numbers,approved_source_path,web_export_path,print_export_path,required_format,print_size,dpi_target,status,codex_rule
BOARD-MASTER-001,board,Approved full Weedopolis board,all,assets/source-approved/board/weedopolis-board-master.png,assets/web-optimized/board/weedopolis-board-web.png,assets/print-ready/board/weedopolis-board-20x20in-300dpi.pdf,PNG/PDF,20x20in,300,pending_upload,Use as visual board master; do not redraw unless explicitly asked
BOARD-SPACES-001,board-spaces,Approved individual board spaces,1-40,assets/source-approved/board-spaces/,assets/web-optimized/board-spaces/,assets/print-ready/board-spaces/,PNG/SVG/PDF,varies,300,pending_upload,Each space must match data/board_map.csv exactly
CARD-PROPERTY-ACAPULCO-GOLD,property-card,Acapulco Gold,2,assets/source-approved/property-cards/acapulco-gold.png,assets/web-optimized/property-cards/acapulco-gold.png,assets/print-ready/property-cards/acapulco-gold-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-MAUI-WOWIE,property-card,Maui Wowie,4,assets/source-approved/property-cards/maui-wowie.png,assets/web-optimized/property-cards/maui-wowie.png,assets/print-ready/property-cards/maui-wowie-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-NORTHERN-LIGHTS,property-card,Northern Lights,7,assets/source-approved/property-cards/northern-lights.png,assets/web-optimized/property-cards/northern-lights.png,assets/print-ready/property-cards/northern-lights-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-JACK-HERER,property-card,Jack Herer,9,assets/source-approved/property-cards/jack-herer.png,assets/web-optimized/property-cards/jack-herer.png,assets/print-ready/property-cards/jack-herer-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-DURBAN-POISON,property-card,Durban Poison,10,assets/source-approved/property-cards/durban-poison.png,assets/web-optimized/property-cards/durban-poison.png,assets/print-ready/property-cards/durban-poison-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-WHITE-WIDOW,property-card,White Widow,12,assets/source-approved/property-cards/white-widow.png,assets/web-optimized/property-cards/white-widow.png,assets/print-ready/property-cards/white-widow-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-BLUEBERRY,property-card,Blueberry,14,assets/source-approved/property-cards/blueberry.png,assets/web-optimized/property-cards/blueberry.png,assets/print-ready/property-cards/blueberry-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-GRANDDADDY-PURPLE,property-card,Granddaddy Purple,15,assets/source-approved/property-cards/granddaddy-purple.png,assets/web-optimized/property-cards/granddaddy-purple.png,assets/print-ready/property-cards/granddaddy-purple-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-GREEN-CRACK,property-card,Green Crack,18,assets/source-approved/property-cards/green-crack.png,assets/web-optimized/property-cards/green-crack.png,assets/print-ready/property-cards/green-crack-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-PINEAPPLE-EXPRESS,property-card,Pineapple Express,19,assets/source-approved/property-cards/pineapple-express.png,assets/web-optimized/property-cards/pineapple-express.png,assets/print-ready/property-cards/pineapple-express-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-BLUE-DREAM,property-card,Blue Dream,20,assets/source-approved/property-cards/blue-dream.png,assets/web-optimized/property-cards/blue-dream.png,assets/print-ready/property-cards/blue-dream-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-GSC,property-card,GSC,22,assets/source-approved/property-cards/gsc.png,assets/web-optimized/property-cards/gsc.png,assets/print-ready/property-cards/gsc-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
CARD-PROPERTY-COOKIES-CREAM,property-card,Cookies & Cream,24,assets/source-approved/property-cards/cookies-and-cream.png,assets/web-optimized/property-cards/cookies-and-cream.png,assets/print-ready/property-cards/cookies-and-cream-print.png,PNG,standard deed card,600,pending_upload,Must match board price/color/data
